Date,VIAV,MNTA,SSD,NEOG,STMP,NEO,KNSL,EXPO,MTH,PRLB,UFPI,ADC,BRKS,AMN,OMCL,SAIA,POWI,IRDM,JBT,BCPC,IIPR,CBU,LPSN,AJRD,LXP,UNF,CROX,WTS,ENSG,CLF,LCII,WDFC,CCOI,GDOT,PCRX,AWR,ABM,FUL,GTLS,SPSC,DORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/30,8.840000153,15.10000038,41.23094177,48.55963898,122.5,8.079999924,29.43920326,27.37888145,36.84999847,52,32.63344955,40.49019241,16.41277313,35.59999847,35.40000153,48.84999847,33.99983978,10.05000019,85.18222809,83.727211,16.78015327,53.33664703,6.949999809,17.87999916,8.511726379,126.3576431,7.230000019,62.95163345,18.52883911,8.209877014,100.0557785,99.61915588,35.73610306,26.81999969,36.45000076,40.45817947,37.81160355,47.0050621,37.31000137,34.36000061,68.34999847,,,1.24%,25.17%,0.28%,2.02%,-0.78%,-0.25%,-2.00%,1.66%,-0.27%,0.96%,0.00%,1.23%,1.22%,0.70%,1.41%,-1.64%,0.92%,0.50%,-0.23%,0.14%,-1.14%,-0.44%,5.04%,1.29%,0.94%,0.16%,0.97%,0.75%,0.59%,1.15%,-0.23%,0.05%,0.00%,-0.07%,5.49%,1.34%,-0.49%,0.08%,3.97%,0.41%
2017/1/31,8.949999809,18.89999962,41.344944,49.5423851,121.5500031,8.06000042,28.8494339,27.83439636,36.75,52.5,32.63344955,40.98834991,16.61304665,35.84999847,35.90000153,48.04999924,34.31398773,10.10000038,84.98536682,83.84524536,16.58916283,53.10007477,7.300000191,18.11000061,8.591875076,126.5555496,7.300000191,63.42248917,18.63880157,8.304570198,99.82837677,99.66654205,35.73610306,26.79999924,38.45000076,41.00135803,37.62529373,47.04317856,38.79000092,34.5,69.01999664,,,3.80%,2.38%,0.32%,-1.09%,0.95%,0.99%,-1.67%,-2.50%,-5.44%,-1.62%,-0.25%,-1.26%,1.55%,0.84%,0.97%,1.35%,1.97%,-3.47%,-0.69%,1.67%,-2.09%,0.09%,-4.11%,-0.83%,-1.21%,-0.59%,-0.14%,0.15%,-0.20%,0.11%,-1.28%,-0.52%,-1.20%,-1.01%,4.94%,-2.38%,-0.62%,0.30%,1.21%,-1.78%
2017/2/1,9.289999962,19.35000038,41.47794724,49.00225067,122.6999969,8.140000343,28.36779022,27.13913727,34.75,51.65000153,32.5532341,40.4727211,16.87053871,36.15000153,36.25,48.70000076,34.9906044,9.75,84.39486694,85.24201965,16.24288559,53.14557648,7,17.95999908,8.487680435,125.8134232,7.289999962,63.51859665,18.60214424,8.31403923,98.55492401,99.1452179,35.30864334,26.53000069,40.34999847,40.02737427,37.39240265,47.18610382,39.25999832,33.88499832,68.27999878,,,-0.11%,-0.26%,-0.07%,-1.64%,0.24%,-1.11%,-1.70%,-0.62%,-1.01%,-0.77%,-0.77%,0.82%,15.09%,0.41%,0.14%,-1.75%,-10.70%,0.00%,0.47%,-3.65%,-1.65%,-1.28%,-2.86%,1.11%,1.61%,-1.06%,-4.53%,-0.45%,-1.28%,4.78%,-0.32%,0.29%,0.85%,-0.79%,3.84%,3.51%,-0.27%,-0.30%,-0.64%,1.03%
2017/2/2,9.279999733,19.29999924,41.44944382,48.19955063,123,8.050000191,27.88614845,26.97131538,34.40000153,51.25,32.30297089,40.80482101,19.41685486,36.29999924,36.29999924,47.84999847,31.24506378,9.75,84.78853607,82.1337204,15.97514248,52.46318054,6.800000191,18.15999985,8.623933792,124.4776306,6.960000038,63.2303009,18.36389351,8.711750031,98.2365799,99.42958069,35.60786438,26.31999969,41.90000153,41.4321785,37.28993225,47.04317856,39.00999832,34.23500061,68.18000031,,,-0.54%,0.00%,-0.48%,1.87%,0.61%,2.36%,-0.74%,3.91%,1.89%,2.54%,1.23%,0.39%,1.92%,2.48%,0.69%,3.34%,4.56%,1.54%,1.68%,1.38%,1.34%,2.93%,2.94%,2.37%,0.93%,1.87%,-2.73%,2.89%,1.35%,-4.46%,0.23%,2.24%,0.96%,0.53%,1.43%,-0.34%,2.07%,1.30%,3.56%,0.16%
2017/2/3,9.229999542,19.29999924,41.24993896,49.09977341,123.75,8.239999771,27.67972755,28.02619362,35.04999924,52.54999924,32.70082474,40.96212769,19.78879166,37.20000076,36.54999924,49.45000076,32.67077637,9.899999619,86.21560669,83.26490021,16.18933487,54.00084686,7,18.59000015,8.704082489,126.8029175,6.769999981,65.0561142,18.61131287,8.323508263,98.463974,101.6570282,35.9498291,26.45999908,42.5,41.29169464,38.06312561,47.65300369,40.40000153,34.29000092,69.43000031,,,2.28%,-1.55%,-0.58%,-1.59%,-0.42%,-1.21%,5.29%,-0.68%,-1.71%,-1.62%,-1.04%,0.00%,1.25%,-1.75%,0.49%,-4.95%,-2.07%,-6.57%,-0.23%,-0.48%,-0.94%,-0.94%,-2.14%,-0.05%,-0.28%,-0.35%,0.59%,-2.14%,-0.15%,3.53%,-0.14%,-0.09%,-1.07%,-0.49%,-1.65%,-0.70%,-1.13%,-1.36%,-2.50%,-2.71%
2017/2/6,9.43999958,19,41.01243973,48.31958008,123.2300034,8.140000343,29.14431572,27.83439636,34.45000076,51.70000076,32.3607254,40.96212769,20.03674698,36.54999924,36.72999954,47,31.99416733,9.25,86.01879883,82.86160278,16.03761673,53.49132156,6.849999905,18.57999992,8.680037498,126.3576431,6.809999943,63.66271591,18.58381653,8.6170578,98.32752991,101.5622559,35.5651207,26.32999992,41.79999924,41.00135803,37.63462448,47.0050621,39.38999939,33.36000061,68.55999756,,,0.74%,-0.79%,0.21%,-0.67%,2.57%,-1.23%,5.03%,-0.52%,-1.74%,-0.97%,0.62%,-0.30%,-0.05%,0.14%,-0.35%,-1.38%,0.76%,0.00%,0.51%,-1.69%,-0.22%,-0.07%,2.19%,0.70%,-0.46%,-1.06%,-2.20%,-0.53%,1.28%,0.22%,-0.05%,0.14%,-0.36%,-0.49%,-0.12%,-0.48%,-0.52%,-0.81%,0.05%,-0.60%
2017/2/7,9.510000229,18.85000038,41.09793472,47.99699783,126.4000015,8.039999962,30.60890579,27.69055176,33.84999847,51.20000076,32.5628624,40.8397789,20.02721024,36.59999847,36.59999847,46.34999847,32.23581696,9.25,86.46167755,81.46483612,16.00191689,53.45492554,7,18.70999908,8.639964104,125.0218353,6.659999847,63.32640457,18.82207298,8.635996819,98.28205872,101.7044373,35.43688202,26.20000076,41.75,40.80470276,37.4389801,46.62283325,39.40999985,33.15999985,69.13999939,,,5.57%,-0.53%,-1.53%,-0.06%,-2.18%,-0.87%,-3.89%,-1.30%,0.59%,0.78%,-0.09%,0.75%,-1.57%,0.14%,0.27%,0.54%,1.35%,1.62%,-0.06%,0.07%,0.54%,-1.02%,-5.71%,-0.11%,1.11%,0.75%,1.65%,-0.76%,-2.63%,4.39%,2.17%,0.19%,-1.09%,0.15%,0.72%,0.71%,-0.72%,-0.41%,-0.38%,-18.86%
2017/2/8,10.03999996,18.75,40.47092056,47.96699142,123.6500015,7.96999979,29.41954422,27.33093452,34.04999924,51.59999847,32.53398514,41.14566422,19.7124939,36.65000153,36.70000076,46.59999847,32.67077637,9.399999619,86.41246796,81.52385712,16.08848763,52.90900421,6.599999905,18.69000053,8.736143112,125.9618607,6.769999981,62.84593582,18.32723999,9.0147686,100.4196091,101.8939896,35.05216599,26.23999977,42.04999924,41.09502029,37.1688385,46.43170929,39.25999832,26.90500069,69.61000061,,,2.49%,1.33%,2.04%,1.89%,3.56%,1.13%,0.07%,1.14%,-0.88%,12.40%,1.92%,0.93%,1.35%,3.00%,1.50%,2.25%,-1.78%,3.19%,1.94%,2.56%,-0.04%,1.08%,5.30%,1.61%,1.01%,0.35%,3.40%,0.76%,-12.65%,19.43%,1.90%,0.28%,1.22%,1.75%,0.83%,0.18%,0.98%,0.43%,1.63%,4.83%
2017/2/9,10.28999996,19,41.29743958,48.87471771,128.0500031,8.06000042,29.43920326,27.64260674,33.75,58,33.15964127,41.53019333,19.97952461,37.75,37.25,47.65000153,32.09083557,9.699999809,88.08558655,83.60916901,16.08224106,53.48222733,6.949999809,18.98999977,8.824304581,126.4071121,7,63.32640457,16.00884628,10.76658726,102.3297577,102.1783524,35.47962189,26.70000076,42.40000153,41.16995239,37.53214645,46.63238144,39.90000153,28.20499992,68.83000183,,,-0.68%,-0.53%,0.99%,0.72%,-0.27%,0.99%,-0.67%,0.52%,2.96%,2.41%,2.42%,1.12%,0.91%,-0.13%,0.40%,1.89%,0.60%,1.03%,-1.90%,1.19%,0.17%,0.03%,1.44%,1.16%,1.63%,1.21%,1.57%,-4.25%,-0.69%,-1.93%,-3.69%,0.65%,0.00%,-0.22%,-0.83%,1.18%,0.67%,1.93%,1.33%,1.77%
2017/2/10,10.22000027,18.89999962,41.70595551,49.22730637,127.6999969,8.140000343,29.24260712,27.78644943,34.75,59.40000153,33.96175766,41.99339676,20.16072464,37.70000076,37.40000153,48.54999924,32.28414154,9.800000191,86.41246796,84.6026535,16.10901642,53.5004158,7.050000191,19.20999908,8.968568802,127.940834,7.110000134,60.63574219,15.89887905,10.55826283,98.55492401,102.8418503,35.47962189,26.63999939,42.04999924,41.65694046,37.78365707,47.53063202,40.43000031,28.70499992,69.94999695,,,3.52%,-1.59%,-0.36%,-0.55%,-0.78%,1.84%,-0.64%,-0.35%,-1.01%,-1.77%,-1.88%,0.23%,1.66%,1.19%,-0.27%,0.51%,-0.90%,0.00%,-0.68%,-0.22%,-0.55%,1.05%,3.55%,0.16%,-0.36%,-0.08%,1.41%,0.63%,0.00%,6.91%,0.18%,-0.32%,0.00%,1.28%,-1.07%,-0.42%,0.64%,-0.22%,-0.27%,-1.90%
